Item Labels,1-Jan-17,1-Feb-17,1-Mar-17,1-Apr-17,1-May-17,1-Jun-17,1-Jul-17,1-Aug-17,1-Sep-17,1-Oct-17,1-Nov-17,1-Dec-17,1-Jan-18,1-Feb-18,1-Mar-18,1-Apr-18,1-May-18,1-Jun-18,1-Jul-18,1-Aug-18,1-Sep-18,1-Oct-18,1-Nov-18,1-Dec-18,1-Jan-19,1-Feb-19,1-Mar-19,1-Apr-19,1-May-19,1-Jun-19,1-Jul-19,1-Aug-19,1-Sep-19,1-Oct-19,1-Nov-19,1-Dec-19,1-Jan-20,1-Feb-20,1-Mar-20,1-Apr-20
Bread sliced 500g,302.87,299.75,297.51,296.63,307.70,320.58,314.47,304.20,310.62,305.88,298.96,290.05,313.43,314.17,305.88,306.54,305.98,308.00,305.25,307.97,303.84,299.19,305.48,296.91,300.61,299.11,299.98,297.87,297.28,292.73,293.49,301.36,302.59,296.56,299.59,304.06,302.45,303.06,304.60,316.55
"Gari white, sold loose",219.56,260.94,273.67,288.45,292.97,315.61,317.10,310.15,301.99,268.10,251.91,199.68,229.26,210.21,209.12,208.21,216.01,216.72,200.67,198.82,195.86,188.39,183.59,166.64,165.80,166.61,163.51,163.37,161.55,145.31,151.73,154.10,154.55,162.42,160.06,159.39,159.64,159.33,164.60,190.23
"Gari yellow, sold loose",255.83,250.45,302.05,320.92,326.83,354.55,350.46,345.82,335.94,305.02,289.15,219.75,271.35,250.06,243.99,246.50,256.51,259.83,248.72,246.75,253.70,236.26,222.42,195.99,191.78,191.06,184.18,182.59,180.75,156.02,154.05,167.34,172.23,175.57,181.32,183.26,182.19,186.35,192.41,211.83
"Rice, medium grained",312.08,352.69,377.99,332.81,350.36,348.23,344.40,313.45,339.47,320.64,309.87,304.90,308.53,314.77,317.17,323.56,325.37,323.12,319.35,322.55,319.46,314.89,318.94,318.00,317.63,314.53,313.55,316.30,316.94,308.07,305.93,309.27,326.40,339.78,378.50,381.68,381.42,373.16,368.36,394.56
"Rice, imported high quality sold loose",402.01,410.58,418.71,388.46,410.55,415.84,409.20,384.35,398.01,368.90,360.83,371.21,360.76,365.21,363.33,369.35,374.63,373.47,370.79,375.02,371.32,373.04,376.63,370.57,366.04,364.39,361.90,357.55,361.39,352.83,356.10,356.61,371.13,382.57,445.45,459.90,453.24,444.04,438.66,471.84
Tomato,247.55,236.62,268.64,285.72,339.72,375.00,394.13,431.30,322.39,291.53,286.39,276.18,271.99,267.10,267.09,289.49,307.14,317.67,336.29,336.65,328.26,306.59,294.36,271.51,265.49,256.51,240.30,257.25,249.52,226.07,203.55,223.86,227.50,233.38,251.21,263.90,237.22,241.78,255.33,277.00
"Wheat flour, prepacked (golden penny 2kg)",626.53,621.39,623.10,627.33,646.18,632.09,630.47,647.29,627.00,641.41,649.19,639.24,655.15,646.00,657.64,649.92,659.51,660.13,657.58,661.06,651.87,656.80,659.65,662.89,665.12,664.78,663.90,668.76,668.37,674.83,667.97,663.26,664.02,675.30,673.48,676.20,672.79,668.01,674.14,692.60
Yam tuber,210.58,215.55,255.86,250.30,279.15,292.06,294.12,343.39,259.51,223.63,212.27,211.61,226.51,230.85,254.51,279.61,291.33,285.84,280.83,292.97,280.28,252.21,239.15,212.65,211.21,206.49,200.88,222.36,216.03,182.15,170.85,190.04,190.23,179.75,203.20,206.82,193.04,189.53,206.12,230.09
"Agric eggs, medium size",512.99,520.16,507.69,518.66,522.71,514.66,498.50,485.19,487.51,472.85,463.11,494.43,437.13,519.07,527.32,552.09,548.66,539.75,471.75,474.13,472.73,482.90,477.76,466.97,469.86,464.27,459.81,467.18,464.87,495.33,468.31,461.89,456.81,462.46,463.91,457.80,454.17,448.26,461.15,476.72
"Agric eggs, medium size (price of one)",47.42,42.90,43.93,46.22,45.73,45.28,44.32,42.92,45.72,42.06,40.82,41.32,38.85,41.27,41.21,42.25,41.77,41.38,41.22,41.79,41.17,41.73,42.40,42.58,42.18,42.23,41.92,41.95,42.82,39.31,38.38,40.57,41.30,40.51,41.18,40.72,40.17,39.29,39.90,41.54
